YearWeek,Percentage,State,Entropy,Actions,stat_code,act_code
2022_21,7.86369593709043,very_low,4.69319396477979,high,0,2
2022_22,5.43580131208997,very_low,4.78066087267473,high,0,2
2022_23,11.2033195020747,low,5.05021936889142,high,1,2
2022_24,2.66075388026608,very_low,5.13115547222895,high,0,2
2022_25,4.9079754601227,very_low,5.39548375458014,high,0,2
2022_26,8.98661567877629,very_low,5.08653997856897,high,0,2
2022_27,12.3830093592513,low,4.81837487789587,high,1,2
2022_28,18.1084198385236,low,4.54657533200806,high,1,2
2022_29,5.51601423487544,very_low,5.03746688172448,high,0,2
2022_3,9.18690601900739,very_low,5.00374936801615,high,0,2
2022_30,3.4327009936766,very_low,4.99457853620256,high,0,2
2022_31,5.2,very_low,4.58139261525894,high,0,2
2022_32,19.7530864197531,low,4.7232227243281,high,1,2
2022_33,16.7304015296367,low,4.53264682604756,high,1,2
2022_34,10.8196721311475,low,4.71811475360834,high,1,2
2022_35,14.5695364238411,low,4.41618474385797,high,1,2
2022_36,3.05444887118194,very_low,4.92407550237515,high,0,2
2022_37,17.4484052532833,low,4.55896905228049,high,1,2
2022_38,13.8492871690428,low,4.78176798071057,high,1,2
2022_39,2.62216924910608,very_low,5.58302074411295,high,0,2
2022_4,3.33333333333333,very_low,4.74231271069846,high,0,2
2022_40,30.0672430355427,high,4.20750446872009,high,3,2
2022_41,4.4979079497908,very_low,5.04325977915744,high,0,2
2022_42,19.8952879581152,low,5.01206437419952,high,1,2
2022_43,12.4622356495468,low,4.87771229227101,high,1,2
2022_44,5.72730231044582,very_low,5.76312443323906,high,0,2
2022_45,2.76643990929705,very_low,5.34732828938324,high,0,2
2022_46,12.6378676470588,low,5.17424782154663,high,1,2
2022_47,1.08471074380165,very_low,5.59594570452333,high,0,2
2022_48,26.797829036635,medium,4.4475194756831,high,2,2
2022_49,3.91534391534392,very_low,5.18889746876759,high,0,2
2022_5,12.8038897893031,low,4.46487553262709,high,1,2
2022_50,12.3943661971831,low,4.91268520831848,high,1,2
2022_51,9.41176470588235,very_low,3.92436045360168,medium,0,1
2022_52,61.2113402061856,very_high,2.61378984061798,low,4,0
2022_8,7.66871165644172,very_low,4.60233071265946,high,0,2
2022_9,8.73096446700508,very_low,4.84762480150945,high,0,2
